,,,,"Date: 4/14/2021, Process: Used API",,"Date: 3/14/2021, Method: Microsoft API Version 3 with csv file",,"Date: 4/14/2021, method: Used API with csv file",,"Date: 4/15/2021, method: Used API with csv file",,AWS Api Translate 4/17/21,
Stereotypes,,Descriptive Adjective Sentence 1,Descriptive Adjective Sentence 2,SYSTRAN (Model: Generic by SYSTRAN),,Microsoft Translate,,Google Translate (Model: Neural Machine Translation),,Microsoft Translate,,Amazon Translate,
English Adjectives,Turkish Adjectives,O <adjective>dır/dür., O <adjective> birisidir.,Sen. 1,Sen. 2,Sen. 1,Sen. 2,Sen. 1,Sen. 2,Sen. 1,Sen. 2,Sen. 1,Sen. 2
Emotional,Duygusal,O duygusaldır.,O duygusal birisidir.,That's emotional.,He's emotional.,He's emotional.,He's emotional.,It is emotional.,He's an emotional person.,He's emotional.,He's emotional.,He's emotional.,He's emotional.
Jealous,Kıskanç,O kıskançtır.,O kıskanç birisidir.,She's jealous.,She's jealous.,He's jealous.,He's jealous.,He is jealous.,He is jealous.,He's jealous.,He's jealous.,He's jealous.,He's jealous.
Easily-offended,Alıngan,O alıngandır.,O alıngan birisidir.,She's touchy.,He's touchy.,He's feisty.,He's feisty.,He is touchy.,He's a touchy person.,He's feisty.,He's feisty.,He's vigious.,He's a tougher person.
Faithful,Sadık,O sadıktır.,O sadık birisidir.,He is loyal.,He's loyal.,He's loyal.,He's loyal.,He is faithful.,He is a loyal person.,He's loyal.,He's loyal.,He's loyal.,He's a faithful person.
Faithful,sadakatli,O sadakatlidir.,O sadakatli birisidir.,He is loyal.,He's a devoted man.,He's loyal.,He's loyal.,He is devoted.,He is a devoted person.,He's loyal.,He's loyal.,He's loyal.,He's a loyal person.
Delicate,Hassas,O hassastır.,O hassas birisidir.,She is sensitive.,He's a sensitive person.,He's sensitive.,He's sensitive.,It is sensitive.,He is sensitive.,He's sensitive.,He's sensitive.,He's sensitive.,He's sensitive.
Delicate,narin,O narindir.,O narin birisidir.,She's delicate.,He's delicate.,He's delicate.,He's delicate.,He is delicate.,He is a delicate person.,He's delicate.,He's delicate.,He's delicate.,He's delicate.
Self-Sacrificing,Fedakar,O fedakardır.,O fedakar birisidir.,He is a sacrifice.,He's a devoted man.,He's altruistic.,He's a altruistic man.,He is altruistic.,He is a self-sacrificing person.,He's altruistic.,He's a altruistic man.,He's a sacrifice.,He's a sacrifice.
Self-Sacrificing,özverili,O özverilidir.,O özverili birisidir.,He is contemptible.,She's a selfless person.,He's selfless.,He's selfless.,He is selfless.,He is a selfless person.,He's selfless.,He's selfless.,He's selfiant.,He's a selfless person.
Warm (Affectionate),Sevecen,O sevecendir.,O sevecen birisidir.,She's affectionate.,She's a loving person.,He's affectionate.,He's a loving man.,He is affectionate.,He is a loving person.,He's affectionate.,He's a loving man.,He's affectionate.,He's a loving person.
