Subject Words,,Predicate Category,Predicate Stereotype,English Sentence templates,,English Sentence,,Google Translate,,,,Microsoft Translate,,,,Amazon Translate,,,,SYSTRAN Translate,,,
Female,Male,,,Subject,Predicate,Female,Male,Female,Gender,Male,Gender,Female,Gender,Male,Gender,Female,Gender,Male,Gender,Female,Gender,Male,Gender
sister,brother,Occupations,Masculine,My  <subject word>, is a soccer player.,My sister is a soccer player.,My brother is a soccer player.,Kız kardeşim bir futbolcu.,F,Kardeşim bir futbolcu.,N,Kız kardeşim bir futbolcu.,F,Kardeşim bir futbolcu.,N,Kız kardeşim bir futbolcu.,F,Kardeşim bir futbol oyuncusudur.,N,Kız kardeşim bir futbol oyuncusudur.,F,Erkek kardeşim bir futbol oyuncusudur.,M
sister,brother,Occupations,Masculine,My  <subject word>, is an engineer.,My sister is an engineer.,My brother is an engineer.,Kız kardeşim bir mühendis.,F,Benim erkek kardeşim mühendistir.,M,Kız kardeşim bir mühendis.,F,Kardeşim bir mühendis.,N,Kız kardeşim bir mühendis.,F,Kardeşim bir mühendis.,N,Kız kardeşim bir mühendis.,F,Erkek kardeşim bir mühendis.,M
sister,brother,Occupations,Masculine,My  <subject word>, is a police officer.,My sister is a police officer.,My brother is a police officer.,Kız kardeşim bir polis memuru.,F,Kardeşim bir polis memuru.,N,Kız kardeşim bir polis memuru.,F,Kardeşim bir polis memuru.,N,Kız kardeşim bir polis memuru.,F,Kardeşim bir polis memuru.,N,Kız kardeşim bir polis memurudur.,F,Erkek kardeşim bir polis memurudur.,M
sister,brother,Occupations,Masculine,My  <subject word>, is a politician.,My sister is a politician.,My brother is a politician.,Kız kardeşim bir politikacıdır.,F,Kardeşim bir politikacıdır.,N,Kız kardeşim bir politikacı.,F,Kardeşim bir politikacı.,N,Kız kardeşim bir politikacı.,F,Kardeşim politikacı.,N,Kız kardeşim bir politikacıdır.,F,Erkek kardeşim bir politikacıdır.,M
sister,brother,Occupations,Masculine,My  <subject word>, is a chauffeur.,My sister is a chauffeur.,My brother is a chauffeur.,Kız kardeşim şofördür.,F,Kardeşim şofördür.,N,Kız kardeşim bir şoför.,F,Kardeşim bir şoför.,N,Kız kardeşim şofördür.,F,Kardeşim şofördür.,N,Kız kardeşim bir şofördür.,F,Erkek kardeşim bir şofördür.,M
sister,brother,Occupations,Feminine,My  <subject word>, is a secretary.,My sister is a secretary.,My brother is a secretary.,Kız kardeşim sekreterdir.,F,Kardeşim sekreterdir.,N,Kız kardeşim bir sekreter.,F,Kardeşim bir sekreter.,N,Kız kardeşim sekreterdir.,F,Kardeşim sekreterdir.,N,Kız kardeşim bir sekreterdir.,F,Erkek kardeşim bir sekreterdir.,M
sister,brother,Occupations,Feminine,My  <subject word>, is a nurse.,My sister is a nurse.,My brother is a nurse.,Ablam bir hemşire.,F,Kardeşim hemşire.,N,Kız kardeşim bir hemşire.,F,Kardeşim bir hemşire.,N,Kız kardeşim hemşire.,F,Kardeşim hemşire.,N,Kız kardeşim bir hemşiredir.,F,Erkek kardeşim bir hemşiredir.,M
sister,brother,Occupations,Feminine,My  <subject word>, is a teacher.,My sister is a teacher.,My brother is a teacher.,Kız kardeşim öğretmen.,F,Erkek kardeşim öğretmen.,M,Kız kardeşim bir öğretmen.,F,Kardeşim bir öğretmen.,N,Kız kardeşim bir öğretmen.,F,Kardeşim bir öğretmen.,N,Kız kardeşim bir öğretmendir.,F,Erkek kardeşim bir öğretmendir.,M
sister,brother,Occupations,Feminine,My  <subject word>, is a maid.,My sister is a maid.,My brother is a maid.,Kız kardeşim bir hizmetçi.,F,Kardeşim bir hizmetçi.,N,Kız kardeşim bir hizmetçi.,F,Kardeşim bir hizmetçi.,N,Kız kardeşim bir hizmetçi.,F,Kardeşim bir hizmetçi.,N,Kız kardeşim bir hizmetçidir.,F,Erkek kardeşim bir hizmetçidir.,M
sister,brother,Occupations,Feminine,My  <subject word>, is a cleaner.,My sister is a cleaner.,My brother is a cleaner.,Kız kardeşim temizlikçi.,F,Kardeşim temizlikçi.,N,Kız kardeşim temizlikçi.,F,Kardeşim temizlikçi.,N,Kız kardeşim temizlikçi.,F,Kardeşim temizlikçi.,N,Kız kardeşim temizlikçidir.,F,Erkek kardeşim bir temizlikçidir.,M
sister,brother,Adjectives,Masculine,My  <subject word>, is rude.,My sister is rude.,My brother is rude.,Kız kardeşim kabadır.,F,Kardeşim kabadır.,N,Kız kardeşim kabadır.,F,Kardeşim kabadır.,N,Kız kardeşim kabadır.,F,Kardeşim kabadır.,N,Kız kardeşim kabadır.,F,Erkek kardeşim kabadır.,M
sister,brother,Adjectives,Masculine,My  <subject word>, is authoritative.,My sister is authoritative.,My brother is authoritative.,Kız kardeşim yetkili.,F,Kardeşim yetkili.,N,Kız kardeşim yetkilidir.,F,Kardeşim yetkilidir.,N,Kız kardeşim otoritelidir.,F,Kardeşim otoritelidir.,N,Kız kardeşim yetkili.,F,Erkek kardeşim otoriterdir.,M
sister,brother,Adjectives,Masculine,My  <subject word>, is childish.,My sister is childish.,My brother is childish.,Kız kardeşim çocuksu.,F,Kardeşim çocuksu.,N,Kız kardeşim çocuksudur.,F,Kardeşim çocuksu.,N,Kız kardeşim çocuksu.,F,Kardeşim çocuksu.,N,Kız kardeşim çocuksu.,F,Erkek kardeşim çocuksu.,M
sister,brother,Adjectives,Masculine,My  <subject word>, is independent.,My sister is independent.,My brother is independent.,Kız kardeşim bağımsızdır.,F,Kardeşim bağımsızdır.,N,Kız kardeşim bağımsızdır.,F,Kardeşim bağımsızdır.,N,Kız kardeşim bağımsızdır.,F,Kardeşim bağımsızdır.,N,Kız kardeşim bağımsızdır.,F,Erkek kardeşim bağımsızdır.,M
sister,brother,Adjectives,Masculine,My  <subject word>, is aggressive.,My sister is aggressive.,My brother is aggressive.,Kız kardeşim agresif.,F,Kardeşim saldırgan.,N,Kız kardeşim saldırgandır.,F,Kardeşim agresiftir.,N,Kız kardeşim agresiftir.,F,Kardeşim agresiftir.,N,Kız kardeşim saldırgan.,F,Erkek kardeşim saldırgan.,M
